,county,year,hpi,nhpi
0,9015,1986,100.0,0.6396529187640794
1,9015,1987,120.33999999999999,0.7697583224406931
2,9015,1988,132.8875,0.8500187724226159
3,9015,1989,123.11714285714285,0.7875223977846555
4,9015,1990,115.32000000000001,0.7376477459187364
5,9015,1991,108.725,0.6954626359262452
6,9015,1992,103.42062499999999,0.6615330464165531
7,9015,1993,100.13684210526317,0.6405282332844935
8,9015,1994,100.32157894736841,0.6417099078870522
9,9015,1995,96.32111111111111,0.6161207986082142
10,9015,1996,99.77294117647058,0.638200530372062
11,9015,1997,100.66,0.6438746280279223
12,9015,1998,103.88315789473685,0.6644916515779815
13,9015,1999,106.93315789473684,0.6840010656002857
14,9015,2000,116.46333333333334,0.7449611109566057
15,9015,2001,120.8805263157895,0.7732158147963286
16,9015,2002,132.13299999999998,0.8451925911505409
17,9015,2003,138.07173913043476,0.8831799093361515
18,9015,2004,157.10608695652175,1.004933670773424
19,9015,2005,179.75608695652176,1.149815056873488
20,9015,2006,190.75478260869565,1.2201685346385962
21,9015,2007,189.84521739130437,1.2143504741774902
22,9015,2008,181.37217391304347,1.1601524042606448
23,9015,2009,164.58521739130435,1.0527741468976834
24,9015,2010,156.33478260869563,1.0
25,9015,2011,147.1765217391304,0.9414189170397975
26,9015,2012,141.83086956521737,0.9072252968823873
27,9015,2013,138.15304347826086,0.8836999749701032
28,9015,2014,141.31863636363636,0.9039487822575957
29,9015,2015,145.54136363636363,0.9309595805090424
30,9015,2016,144.16181818181818,0.9221352777433652
31,9015,2017,149.60454545454544,0.9569498416037338
32,9015,2018,158.78849999999997,1.0156952749117
33,9013,1985,100.0,0.5210876450119366
34,9013,1986,103.7395238095238,0.5405738415656449
35,9013,1987,126.24999999999997,0.6578731518275699
36,9013,1988,151.9804761904762,0.7919514842588795
37,9013,1989,151.84238095238095,0.7912318870348153
38,9013,1990,147.70428571428567,0.7696687840102736
39,9013,1991,134.7869565217391,0.7023581775223933
40,9013,1992,128.01038461538462,0.6670462985630302
41,9013,1993,123.15346153846157,0.6417374724814505
42,9013,1994,120.65038461538462,0.6286942478901516
43,9013,1995,119.26115384615385,0.6214551379909857
44,9013,1996,119.24499999999999,0.6213709622944837
45,9013,1997,118.51884615384614,0.617587064318397
46,9013,1998,124.28576923076925,0.6476377879695856
47,9013,1999,127.58846153846154,0.6648477095377298
48,9013,2000,138.36576923076922,0.7210069283872661
49,9013,2001,144.9488888888889,0.7553107515820798
50,9013,2002,155.2588888888889,0.8090348877828105
51,9013,2003,163.7766666666667,0.8534199754123829
52,9013,2004,181.5362962962963,0.945963211212262
53,9013,2005,200.24740740740742,1.0434644994567177
54,9013,2006,212.92555555555552,1.109528763073027
55,9013,2007,214.65962962962962,1.1185648088283824
56,9013,2008,209.8525925925926,1.0935159327372346
57,9013,2009,196.65518518518513,1.024745873275344
58,9013,2010,191.90629629629635,1.0
59,9013,2011,184.6766666666667,0.9623272932198778
60,9013,2012,178.99962962962965,0.9327449546171259
61,9013,2013,176.87777777777777,0.9216882467716687
62,9013,2014,176.59111111111113,0.9201944621893013
63,9013,2015,177.46851851851847,0.9247665237857206
64,9013,2016,177.80592592592598,0.9265247120990762
65,9013,2017,182.4107692307693,0.950519981632774
66,9013,2018,181.85222222222222,0.9476094621796515
67,9011,1984,100.0,0.5464900978773027
68,9011,1985,102.0175,0.5575155356019773
69,9011,1986,102.0228,0.5575444995771649
70,9011,1987,118.83480000000002,0.6494204148322971
71,9011,1988,141.70666666666668,0.7744129013653299
72,9011,1989,139.4762962962963,0.7622241481452665
73,9011,1990,133.787,0.7311327072471071
74,9011,1991,123.51800000000001,0.6750136390960869
75,9011,1992,112.79170212765953,0.6163954833549223
76,9011,1993,109.24183673469389,0.5969958204943919
77,9011,1994,108.14291666666668,0.5909903311390367
78,9011,1995,109.59787234042554,0.5989415198246328
79,9011,1996,112.51062500000002,0.6148594246848652
80,9011,1997,113.16469387755102,0.6184338463339786
81,9011,1998,116.3742,0.6359734794839281
82,9011,1999,120.68235294117649,0.6595171087088674
83,9011,2000,130.0419607843137,0.7106664387717595
84,9011,2001,138.90075471698114,0.7590788704051424
85,9011,2002,150.04982142857145,0.8200074159897182
86,9011,2003,158.72881355932202,0.8674372485798203
87,9011,2004,178.76389830508475,0.9769270028167396
88,9011,2005,203.9271186440678,1.1144415102763294
89,9011,2006,215.198813559322,1.176040206851133
90,9011,2007,215.96813559322032,1.1802444755871757
91,9011,2008,207.66542372881355,1.1348709773929087
92,9011,2009,191.83711864406783,1.0483708574429638
93,9011,2010,182.98593220338984,1.0
94,9011,2011,176.07293103448282,0.962221133145781
95,9011,2012,166.97396551724142,0.9124961875847865
96,9011,2013,162.06661016949155,0.8856779765416811
97,9011,2014,166.40892857142853,0.9094083166265706
98,9011,2015,167.19722222222225,0.9137162633703538
99,9011,2016,169.7737037037037,0.9277964795402923
100,9011,2017,174.04053571428568,0.9511142939711819
101,9011,2018,183.74800000000002,1.0041646250475864
102,9009,1983,100.0,0.5432003972703445
103,9009,1984,127.57999999999998,0.6930150668375055
104,9009,1985,106.21166666666666,0.5769421952807874
105,9009,1986,102.93123966942149,0.559122902799588
106,9009,1987,128.95641666666663,0.700491767638934
107,9009,1988,138.5037704918033,0.7523530315458817
108,9009,1989,136.84237704918036,0.7433283357653305
109,9009,1990,130.32286885245904,0.7079143413406677
110,9009,1991,123.76132231404955,0.6722719944769487
111,9009,1992,118.80104477611945,0.6453277471852008
112,9009,1993,114.47712230215824,0.6218401831289817
113,9009,1994,110.93359712230217,0.6025917402746289
